sample_ID,year,treatment,fertilization,mowing,ditch,block,pH_1,pH_2,pH_3,temp1_degreeC,temp2_degreeC,temp3_degreeC,moist_percent,c_percent,n_percent,C_N,n_nh4_ug_gsoil,n_no3_ug_gsoil
WRC15_38,2015,F,1,0,0,2,4.56,4.47,4.47,22.2,21.7,21.8,19.2,4.31,0.21,20.5,1.42,0.286
WRC15_39,2015,M,0,1,0,2,4.77,4.77,4.74,23,22.5,23.1,19.1,3.74,0.23,16.3,1.236,0.99
WRC15_40,2015,MF,1,1,0,2,5.24,5.28,5.16,23.7,23.7,23,19.5,3.19,0.16,19.9,1.631,0.692
WRC15_41,2015,C,0,0,1,3,4.94,4.93,4.92,22.1,22,22,19.7,3.37,0.2,16.9,2.045,1.277
WRC15_42,2015,F,1,0,1,3,4.76,4.7,4.7,22.5,21.8,22.3,19.5,6.42,0.35,18.3,2.157,0.816
WRC15_43,2015,M,0,1,1,3,5.51,5.52,5.42,23.7,23.7,23.8,19.2,3.15,0.19,16.6,2.033,0.801
WRC15_44,2015,MF,1,1,1,3,5.2,5.21,5.23,22.5,22.9,22.6,19.3,4.43,0.24,18.5,2.026,0
WRC15_45,2015,C,0,0,0,4,5.23,5.1,5,21.4,22.5,22.5,19,4.48,0.22,20.4,2.553,0.178
WRC15_46,2015,F,1,0,0,4,4.82,4.81,4.84,21.8,22.3,21.7,19,3.22,0.18,17.9,2.471,0.349
WRC15_47,2015,M,0,1,0,4,5.03,5.03,5.05,23.6,24.2,23.8,19.9,3.01,0.16,18.8,2.564,0.472
WRC15_48,2015,MF,1,1,0,4,5.25,5.29,5.28,23.3,23.2,23.1,19.2,4.58,0.24,19.1,1.65,0.532
WRC15_49,2015,C,0,0,1,5,5.04,5,5.05,22.5,22.6,22.2,19,2.98,0.18,16.6,1.864,0.1
WRC15_50,2015,F,1,0,1,5,4.76,4.79,4.74,21.6,21.8,22.1,19.2,4.72,0.26,18.2,2.163,0.483
WRC15_51,2015,M,0,1,1,5,5.28,5.24,5.21,23.2,23.2,23.2,19.2,3.52,0.19,18.5,1.492,0.235
WRC15_52,2015,MF,1,1,1,5,5.12,5.11,5.12,22.4,22.3,22.5,19.1,4.63,0.22,21,2.625,0.207
WRC15_53,2015,C,0,0,0,6,4.61,4.65,4.64,22.1,21.8,21.6,19.1,4.29,0.23,18.7,3.187,0
WRC15_54,2015,F,1,0,0,6,4.82,4.78,4.77,21.8,22.5,22,19.2,3.72,0.2,18.6,3.363,0.559
WRC15_55,2015,M,0,1,0,6,4.95,4.98,4.95,23.2,22.4,23.3,19.1,4.44,0.24,18.5,3.511,0.262
WRC15_56,2015,MF,1,1,0,6,5.31,5.26,5.25,22,23.1,22.8,19.2,3.92,0.22,17.8,2.182,0.467
WRC15_57,2015,C,0,0,1,7,4.92,4.94,4.95,22.3,22.2,21.8,19.3,3.16,0.2,15.8,1.69,0.551
WRC15_58,2015,F,1,0,1,7,4.74,4.71,4.64,21.5,21.6,22.2,19.2,4.1,0.24,17.1,2.019,0.4
WRC15_59,2015,M,0,1,1,7,5.24,5.23,5.16,22.8,23,22.8,19.1,2.77,0.17,16.3,1.573,0
WRC15_60,2015,MF,1,1,1,7,5.36,5.39,5.39,22.6,22.5,22.8,19.5,3.14,0.18,17.4,2.257,0
WRC15_61,2015,C,0,0,0,8,5.12,5.11,5.1,22.8,22.2,22.3,19.6,3.33,0.21,15.9,2.684,0
WRC15_62,2015,F,1,0,0,8,4.93,4.93,4.9,22.4,22.3,22.6,19.7,3.25,0.19,17.1,2.787,0
WRC15_63,2015,M,0,1,0,8,5.04,5.03,5.08,23.4,23.1,23,19.3,3.57,0.19,18.8,3.311,0.201
WRC15_64,2015,MF,1,1,0,8,5.37,5.38,5.36,22,22.3,21.6,19.8,3.79,0.22,17.2,3.889,0.461
WRC16_097,2016,C,0,0,1,1,3.93,3.92,3.92,21.5,21.6,21.8,51.52,6,0.33,18.18,4.374,0.698
WRC16_098,2016,F,1,0,1,1,3.94,4.2,3.93,22.2,21.5,21.8,44.6,4.56,0.27,16.89,2.932,<MDL
WRC16_099,2016,M,0,1,1,1,4.2,4.08,4.18,21.8,22.5,22,49.42,3.73,0.21,17.76,2.321,<MDL
WRC16_100,2016,MF,1,1,1,1,4.08,3.4,4.07,21.3,21.7,22.1,35.99,3.8,0.25,15.2,3.683,<MDL
WRC16_101,2016,C,0,0,0,2,3.42,3.42,3.41,22,21.8,22,40.94,3.45,0.16,21.56,2.048,<MDL
WRC16_102,2016,F,1,0,0,2,3.44,3.57,3.4,22,21.8,21.8,41.72,3.12,0.15,20.8,1.39,<MDL
WRC16_103,2016,M,0,1,0,2,3.57,3.92,3.54,22.3,22.5,22.7,37.72,3.24,0.16,20.25,4.189,<MDL
WRC16_104,2016,MF,1,1,0,2,3.91,3.98,3.91,21.5,21.2,21.7,36.34,3.39,0.18,18.83,2.439,0.397
WRC16_105,2016,C,0,0,1,3,3.98,3.61,3.98,21.9,21.3,21.4,35.17,3.67,0.22,16.68,2.407,<MDL
WRC16_106,2016,F,1,0,1,3,3.61,4.13,3.62,22.1,21.8,21.7,52.75,6.19,0.34,18.21,3.022,<MDL
WRC16_107,2016,M,0,1,1,3,4.15,4.13,4.13,22.2,21.8,22.4,32.64,3.34,0.2,16.7,1.433,<MDL
WRC16_108,2016,MF,1,1,1,3,4.07,4.08,4.08,21.7,22,21.8,46.57,4.85,0.27,17.96,3.464,<MDL
WRC16_109,2016,C,0,0,0,4,3.76,3.75,3.76,22.2,22,22,43.01,3.73,0.19,19.63,2.441,0.218
WRC16_110,2016,F,1,0,0,4,3.92,3.91,3.9,22.1,22.2,22.2,37.52,3,0.16,18.75,1.246,0.173
WRC16_111,2016,M,0,1,0,4,3.84,3.83,3.84,22.3,22.1,21.9,41.88,3.65,0.2,18.25,0.887,0.689
WRC16_112,2016,MF,1,1,0,4,4.1,4.1,4.08,22.2,21.7,22,40.96,4.09,0.22,18.59,3.391,<MDL
WRC16_113,2016,C,0,0,1,5,3.9,3.86,3.86,21.5,21.5,21.5,33.1,2.8,0.18,15.56,2.122,<MDL
WRC16_114,2016,F,1,0,1,5,3.68,3.66,3.66,21.8,22,21.6,52.51,4.92,0.27,18.22,1.191,<MDL
WRC16_115,2016,M,0,1,1,5,3.98,3.96,3.96,21,21.4,20.8,37.81,4.07,0.23,17.7,1.094,<MDL
WRC16_116,2016,MF,1,1,1,5,4.14,4.1,4.11,22.2,21.7,21.1,49.43,4.89,0.28,17.46,4.858,<MDL
WRC16_117,2016,C,0,0,0,6,3.9,3.88,3.89,21.8,21.6,21.7,39.48,3.44,0.19,18.11,0.831,<MDL
WRC16_118,2016,F,1,0,0,6,4,3.98,3.98,22.1,21.9,21.8,46.43,3.82,0.21,18.19,1.001,<MDL
WRC16_119,2016,M,0,1,0,6,3.9,3.93,3.92,22.3,22.1,21.7,46.86,4.21,0.23,18.3,1.378,<MDL
WRC16_120,2016,MF,1,1,0,6,4.02,4.01,4,21.3,21.9,21.7,43.3,3.89,0.21,18.52,3.51,<MDL
WRC16_121,2016,C,0,0,1,7,3.72,3.74,3.74,21.8,22,22,34.95,3.85,0.24,16.04,1.968,<MDL
WRC16_122,2016,F,1,0,1,7,3.77,3.74,3.75,22,22.2,21.4,43.93,4.17,0.24,17.38,3.329,<MDL
WRC16_123,2016,M,0,1,1,7,3.95,3.94,3.93,21.1,22.5,21.8,27.66,2.25,0.13,17.31,3.217,<MDL
WRC16_124,2016,MF,1,1,1,7,4.35,4.37,4.36,21.2,21.9,20.9,49.62,4.44,0.27,16.44,3.74,<MDL
WRC16_125,2016,C,0,0,0,8,3.96,3.95,3.93,21.8,22.2,22.1,36.54,2.71,0.17,15.94,2.064,<MDL
WRC16_126,2016,F,1,0,0,8,4,3.99,4,22.1,22.4,21.6,46.6,3.47,0.2,17.35,4.041,0.804
WRC16_127,2016,M,0,1,0,8,4.07,4.04,4.03,21.6,21.6,21.4,44.82,3.4,0.18,18.89,1.255,1.59
WRC16_128,2016,MF,1,1,0,8,4.28,4.27,4.27,21.2,20.9,NA,43.28,3.51,0.2,17.55,4.377,1.882
WRC17_130,2017,F,1,0,1,1,4.04,3.92,3.9,19.8,19.2,19.5,39.1,,,,2.8462,0.9487
WRC17_131,2017,M,0,1,1,1,3.8,3.96,3.93,20,19.8,19.5,42.91,,,,4.5213,0.962
WRC17_132,2017,MF,1,1,1,1,3.83,3.9,3.93,18.8,19.9,19.6,22,,,,3.7008,1.9004
WRC17_133,2017,C,0,0,0,2,3.08,3.14,3.2,20.2,20.2,20.3,25.28,,,,1.8809,1.0345
WRC17_134,2017,F,1,0,0,2,3.48,3.42,3.39,20.3,20.1,20.4,28.21,,,,3.1564,0.9018
WRC17_135,2017,M,0,1,0,2,3.2,3.24,3.28,21.5,21.6,21.8,71.46,,,,3.3961,0.8733
WRC17_136,2017,MF,1,1,0,2,3.8,3.79,3.79,20.2,20.1,19.9,25.1,,,,2.8281,0.7802
WRC17_137,2017,C,0,0,1,3,4.15,3.98,3.99,19.5,19.6,NA,28.67,,,,3.6883,0.8782
WRC17_138,2017,F,1,0,1,3,3.67,3.64,3.64,20.4,20.6,20.5,31.04,,,,2.2487,1.1732
WRC17_139,2017,M,0,1,1,3,4.2,4.06,4.02,19.8,19.8,19.6,20.17,,,,3.0203,0.7107
WRC17_140,2017,MF,1,1,1,3,3.94,3.89,3.86,19.5,20.1,19.4,64.94,,,,1.4802,0.9251
WRC17_141,2017,C,0,0,0,4,3.51,3.55,3.6,20.6,19.8,20.3,24.8,,,,4.0809,0.7097
WRC17_142,2017,F,1,0,0,4,3.9,3.8,3.79,20.3,20.5,20.4,22.74,,,,1.8892,1.0938
WRC17_143,2017,M,0,1,0,4,3.98,3.87,3.86,20.4,21.2,20.2,71.04,,,,1.5125,0.8897
WRC17_144,2017,MF,1,1,0,4,4.03,3.98,3.96,20.2,20.2,20.3,34.49,,,,2.456,0.8772
WRC17_145,2017,C,0,0,1,5,4.01,3.95,3.9,19.1,19.2,19.2,27.47,,,,2.8944,1.1204
WRC17_146,2017,F,1,0,1,5,3.48,3.53,3.53,20.1,20.3,20.2,36.59,,,,3.06,0.9617
WRC17_147,2017,M,0,1,1,5,4.02,3.96,3.89,19.7,21.2,20.3,36.04,,,,3.8456,1.0318
WRC17_148,2017,MF,1,1,1,5,4.18,4.12,4.08,19.6,19.7,19.9,42.14,,,,3.5494,0.9523
WRC17_149,2017,C,0,0,0,6,3.62,3.65,3.66,20.1,20.1,20.1,35.14,,,,2.6114,0.7461
WRC17_150,2017,F,1,0,0,6,3.78,3.76,3.76,19.8,20.4,20.5,33.35,,,,1.9635,1.0799
WRC17_151,2017,M,0,1,0,6,3.72,3.64,3.63,21.9,21.3,21.3,74.75,,,,2.1248,0.8854
WRC17_152,2017,MF,1,1,0,6,3.78,3.84,3.84,20.2,20.1,19.9,43.62,,,,2.828,0.7713
WRC17_153,2017,C,0,0,1,7,3.69,3.7,3.72,19.2,19.4,18.7,23.59,,,,3.4926,0.9605
WRC17_154,2017,F,1,0,1,7,3.55,3.61,3.65,19.6,19.4,18.8,27.68,,,,3.474,1.0328
WRC17_155,2017,M,0,1,1,7,3.56,3.6,3.54,20.6,20.2,20.2,26.33,,,,3.3603,0.999
WRC17_156,2017,MF,1,1,1,7,4.18,4.03,3.98,20.6,20.8,20.3,31.4,,,,4.1633,0.9913
WRC17_157,2017,C,0,0,0,8,3.72,3.71,3.7,20.3,20.5,20,31.19,,,,3.4038,0.8009
WRC17_158,2017,F,1,0,0,8,4.02,3.91,3.87,20.8,20.3,20.6,33.96,,,,2.613,0.9581
WRC17_159,2017,M,0,1,0,8,3.9,3.86,3.82,20.5,20.8,21.2,39.42,,,,2.5438,0.8479
WRC17_160,2017,MF,1,1,0,8,3.96,3.92,3.89,20.4,20.5,20.4,61.57,,,,1.5908,0.7954
WRC18_161,2018,C,0,0,1,1,,,,12,12.5,10.5,30.2,3.36,0.19,17.7,0.29,-0.595
WRC18_162,2018,F,1,0,1,1,,,,15.5,15,13,30.5,4.21,0.24,17.5,0.162,-0.149
WRC18_163,2018,M,0,1,1,1,,,,14,13,10,35.6,5.39,0.3,18,0.434,-0.242
WRC18_164,2018,MF,1,1,1,1,,,,9.5,10,13,26.4,2.59,0.16,16.2,0.187,-0.054
WRC18_165,2018,C,0,0,0,2,,,,15,16,16,34.5,4.82,0.21,23,0.166,-0.569
WRC18_166,2018,F,1,0,0,2,,,,16,15,15,34.1,4.41,0.21,21,0.571,-0.337
WRC18_167,2018,M,0,1,0,2,,,,14,12,14,33.6,4.72,0.22,21.5,0.636,0.014
WRC18_168,2018,MF,1,1,0,2,,,,14,14,14,35.4,4.89,0.24,20.4,0.553,0.175
WRC18_169,2018,C,0,0,1,3,,,,11,13,13,28.4,3.45,0.2,17.3,0.258,-0.582
WRC18_170,2018,F,1,0,1,3,,,,11,14.5,14.5,32.2,4.52,0.23,19.7,0.266,0.306
WRC18_171,2018,M,0,1,1,3,,,,11.5,12,12,23.6,2.47,0.15,16.5,0.261,0.076
WRC18_172,2018,MF,1,1,1,3,,,,12,12,12,32.1,5.45,0.3,18.2,0.234,-0.221
WRC18_173,2018,C,0,0,0,4,,,,13,13,13,33,3.88,0.21,18.5,0.091,-0.203
WRC18_174,2018,F,1,0,0,4,,,,14,13,13,30.7,3.76,0.2,18.8,0.082,-0.455
WRC18_175,2018,M,0,1,0,4,,,,13,12,12,35.5,4.74,0.24,19.8,0.105,0.082
WRC18_176,2018,MF,1,1,0,4,,,,13,13,14,36.8,6.36,0.33,19.3,0.133,0.104
WRC18_177,2018,C,0,0,1,5,,,,11,12.5,13,25.9,2.68,0.15,17.9,0.233,-0.086
WRC18_178,2018,F,1,0,1,5,,,,13,13,14,33.8,4.26,0.22,19.4,0.455,-0.185
WRC18_179,2018,M,0,1,1,5,,,,11,13,11.5,27.6,3.78,0.21,18,0.296,-0.167
WRC18_180,2018,MF,1,1,1,5,,,,13,13.5,12,29,4.07,0.22,18.5,0.428,-0.138
WRC18_181,2018,C,0,0,0,6,,,,15,15,14,37.3,4.84,0.26,18.6,0.199,0.3
WRC18_182,2018,F,1,0,0,6,,,,15,15,15,41.1,4.6,0.25,18.4,0.202,0.173
WRC18_183,2018,M,0,1,0,6,,,,15,15,15,34.1,4.62,0.24,19.3,0.081,0.179
WRC18_184,2018,MF,1,1,0,6,,,,14,13,14,38.1,4.93,0.26,19,0.21,-0.098
WRC18_185,2018,C,0,0,1,7,,,,13.5,13,14.5,28.1,3.7,0.21,17.6,0.087,-0.272
WRC18_186,2018,F,1,0,1,7,,,,14.5,12.5,12,33.3,5.42,0.29,18.7,0.124,-0.231
WRC18_187,2018,M,0,1,1,7,,,,14,14,14,27.6,3.05,0.18,16.9,0.2,-0.176
WRC18_188,2018,MF,1,1,1,7,,,,13,14,15,35.3,4.89,0.29,16.9,0.21,-0.246
WRC18_189,2018,C,0,0,0,8,,,,14,13,14,32.9,3.22,0.19,16.9,0.168,-0.052
WRC18_190,2018,F,1,0,0,8,,,,15,14,13,39.3,4.22,0.23,18.3,0.312,0.168
WRC18_191,2018,M,0,1,0,8,,,,12,13,13,34.3,3.67,0.2,18.4,0.221,0.268
WRC18_192,2018,MF,1,1,0,8,,,,13,13,12,36.2,4.26,0.24,17.8,0.307,0.691
WRC19_209,2019,C,0,0,1,1,3.52,3.48,3.52,16.5,20,19.5,11.87,,,,0.7961,
WRC19_210,2019,F,1,0,1,1,3.96,3.85,3.84,20,20,19,10.66,,,,1.0094,
WRC19_211,2019,M,0,1,1,1,2.8,2.85,2.9,21,19,18.5,16,,,,0.7198,
WRC19_212,2019,MF,1,1,1,1,2.96,3.08,3.09,20,21,18,7.06,,,,1.0158,
WRC19_213,2019,C,0,0,0,2,3.48,3.36,3.34,15,19,15,5.51,,,,0.4042,
WRC19_214,2019,F,1,0,0,2,2.35,2.36,2.39,19.5,19.5,20,7.39,,,,0.5414,
WRC19_215,2019,M,0,1,0,2,2.33,2.38,2.39,18.5,19.5,20,6.74,,,,0.3258,
WRC19_216,2019,MF,1,1,0,2,2.84,2.9,2.88,19.5,20,18,4.89,,,,0.7673,
WRC19_217,2019,C,0,0,1,3,3.67,3.56,3.5,19.5,22,20,11.62,,,,0.5639,
WRC19_218,2019,F,1,0,1,3,3.3,3.22,3.2,16,17,15,9.25,,,,1.1245,
WRC19_219,2019,M,0,1,1,3,2.55,2.47,2.45,20.5,18.5,17,6.07,,,,0.8374,
WRC19_220,2019,MF,1,1,1,3,2.95,3.01,3.04,21,19.5,18.5,9.55,,,,0.7757,
WRC19_221,2019,C,0,0,0,4,2.64,2.62,2.63,17,18,18,6.27,,,,0.7508,
WRC19_222,2019,F,1,0,0,4,3.65,3.59,3.58,18,19.5,19,5.41,,,,0.9286,
WRC19_223,2019,M,0,1,0,4,3.85,3.82,3.79,20,20,19,5.23,,,,0.3875,
WRC19_224,2019,MF,1,1,0,4,2.96,2.91,2.92,20,19,18,5.88,,,,0.7565,
WRC19_225,2019,C,0,0,1,5,3.55,3.4,3.4,19,20,,7.18,,,,0.652,
WRC19_226,2019,F,1,0,1,5,3.74,3.73,3.73,19.5,19,19,10.88,,,,0.9127,
WRC19_227,2019,M,0,1,1,5,2.98,2.9,2.9,19,19.5,18.5,10.52,,,,0.9497,
WRC19_228,2019,MF,1,1,1,5,2.98,2.97,3,19.5,18.5,19,8.29,,,,1.4603,
WRC19_229,2019,C,0,0,0,6,2.35,2.25,2.24,19,19.5,19,9.02,,,,0.775,
WRC19_230,2019,F,1,0,0,6,2.66,2.67,2.66,19.5,20,20,8.38,,,,0.7273,
WRC19_231,2019,M,0,1,0,6,2.86,2.79,2.8,18.5,20.5,20,9.08,,,,0.8215,
WRC19_232,2019,MF,1,1,0,6,NA,NA,NA,18,20,20,6.94,,,,0.699,
WRC19_233,2019,C,0,0,1,7,2.1,1.94,1.95,19,19,19,7.26,,,,0.9438,
WRC19_234,2019,F,1,0,1,7,2.68,2.67,2.65,18,17,19,8.35,,,,1.0677,
WRC19_235,2019,M,0,1,1,7,3.62,3.67,3.68,20,19.5,18.5,5.71,,,,0.9793,
WRC19_236,2019,MF,1,1,1,7,4.04,4.08,4.08,19,18,19.5,5.35,,,,1.2613,
WRC19_237,2019,C,0,0,0,8,3.44,3.38,3.38,18,19,19.5,7.08,,,,0.9478,
WRC19_238,2019,F,1,0,0,8,2.74,2.6,2.57,19.5,19,19.5,5.85,,,,0.8139,
WRC19_239,2019,M,0,1,0,8,3.92,3.94,3.89,19.5,20,19,8.69,,,,1.4344,
WRC19_240,2019,MF,1,1,0,8,3,3,NA,19,20,18.5,4.95,,,,1.1591,
WRC20_353,2020,C,0,0,1,1,3.77,3.72,3.69,16,15,17,22,,,,1.5724,
WRC20_354,2020,F,1,0,1,1,3.43,3.37,3.32,15,16,15,28.7,,,,1.5514,
WRC20_355,2020,M,0,1,1,1,3.62,3.56,3.53,14.5,14.5,15,27.9,,,,1.9909,
WRC20_356,2020,MF,1,1,1,1,3.67,3.55,3.5,15,15.5,15,17.9,,,,1.6099,
WRC20_357,2020,C,0,0,0,2,3.03,2.98,2.98,17,17,18,20,,,,0.6814,
WRC20_358,2020,F,1,0,0,2,2.82,2.88,2.92,19,17,17,35.5,,,,0.8844,
WRC20_359,2020,M,0,1,0,2,3.19,3.1,3.05,14.5,15,15,16,,,,0.4983,
WRC20_360,2020,MF,1,1,0,2,3.3,3.24,3.2,14,14.5,14,18.6,,,,0.9671,
WRC20_361,2020,C,0,0,1,3,3.61,3.58,3.61,16,15,15,21.8,,,,1.0845,
WRC20_362,2020,F,1,0,1,3,2.9,2.95,2.99,16,16,15,27.7,,,,1.5797,
WRC20_363,2020,M,0,1,1,3,3.37,3.34,3.26,14.5,15,14.5,13.9,,,,0.9777,
WRC20_364,2020,MF,1,1,1,3,3.55,3.62,3.64,15,14.5,14.5,28.8,,,,1.3706,
WRC20_365,2020,C,0,0,0,4,3.14,3.09,3.05,15,16,15,15.9,,,,0.6298,
WRC20_366,2020,F,1,0,0,4,2.93,2.89,2.89,17,17,16,17.8,,,,0.718,
WRC20_367,2020,M,0,1,0,4,3.35,3.26,3.22,14,14.5,14.5,21.3,,,,0.6402,
WRC20_368,2020,MF,1,1,0,4,3.22,3.19,3.18,14,14,14.5,25,,,,1.2499,
WRC20_369,2020,C,0,0,1,5,2.72,2.67,2.62,16,15,15,15.4,,,,1.2504,
WRC20_370,2020,F,1,0,1,5,2.97,2.89,2.85,16,16,15,24.4,,,,0.8866,
WRC20_371,2020,M,0,1,1,5,3.45,3.41,3.4,14.5,14.5,14.5,16.4,,,,1.2543,
WRC20_372,2020,MF,1,1,1,5,3.51,3.45,3.42,15,15,14.5,22.5,,,,2.443,
WRC20_373,2020,C,0,0,0,6,3.2,3.23,3.24,17,18,17,27.6,,,,0.6845,
WRC20_374,2020,F,1,0,0,6,2.86,2.84,2.84,17,18,16,26.8,,,,0.7172,
WRC20_375,2020,M,0,1,0,6,3.56,3.49,3.48,15,15.5,15.5,23.3,,,,0.6255,
WRC20_376,2020,MF,1,1,0,6,3.82,3.72,3.7,14.5,14.5,15,22.3,,,,1.0346,
WRC20_377,2020,C,0,0,1,7,2.93,2.97,2.97,NA,NA,NA,18.8,,,,1.1032,
WRC20_378,2020,F,1,0,1,7,3.02,2.97,2.93,17,17,16,18.2,,,,0.8081,
WRC20_379,2020,M,0,1,1,7,3.2,3.14,3.1,17,16,17,13.8,,,,2.1126,
WRC20_380,2020,MF,1,1,1,7,3.25,3.24,3.25,14.5,15,15,20.6,,,,1.3104,
WRC20_381,2020,C,0,0,0,8,3.07,3.02,3.01,17,17,17,17.9,,,,0.8679,
WRC20_382,2020,F,1,0,0,8,3.31,3.24,3.19,18,18,18,19.2,,,,0.6227,
WRC20_383,2020,M,0,1,0,8,3.27,3.24,3.2,17,17,17,23.8,,,,0.8124,
WRC20_384,2020,MF,1,1,0,8,3.69,3.63,3.6,14.5,15,14.5,26.1,,,,0.9789,
