sample_ID,year,treatment,fertilization,mowing,ditch,block,temp_degC,moist_percent,pH,c_percent,n_percent,C_N,n_nh4_ug_gsoil,n_no3_ug_gsoil
WRC14_21,2014,C,0,0,0,6,22.6,30.1,5.51,1.57,0.16,9.8,9.589,4.165
WRC14_22,2014,F,1,0,0,6,22.6,23.6,5.53,1.91,0.18,10.6,11.637,2.605
WRC14_23,2014,M,0,1,0,6,26.1,31.4,5.79,1.97,0.17,11.6,7.173,2.619
WRC14_24,2014,MF,1,1,0,6,24.3,32.7,5.44,2.32,0.23,10.1,14.699,2.258
WRC14_25,2014,C,0,0,1,7,22.7,20.7,5.78,1.8,0.18,10,12.472,2.373
WRC14_26,2014,F,1,0,1,7,22.0,23.4,5.15,2.44,0.24,10.2,11.310,2.845
WRC14_27,2014,M,0,1,1,7,24.8,23.8,5.60,1.91,0.2,9.6,14.108,3.479
WRC14_28,2014,MF,1,1,1,7,24.6,19.7,5.66,1.39,0.14,9.9,9.350,2.793
WRC14_29,2014,C,0,0,0,8,22.9,27.4,5.51,1.1,0.13,8.3,9.397,2.689
WRC14_30,2014,F,1,0,0,8,22.4,30.3,5.52,1.57,0.18,8.8,11.527,2.467
WRC14_31,2014,M,0,1,0,8,26.5,32.7,5.59,1.91,0.21,9.2,9.568,3.605
WRC14_32,2014,MF,1,1,0,8,24.3,40.5,5.69,2.26,0.2,11.3,28.980,5.474
WRC15_33,2015,C,0,0,1,1,21.6,19.3,4.98,5.27,0.3,17.6,2.793,0.852
WRC15_34,2015,F,1,0,1,1,21.9,19.8,4.94,4.08,0.24,17.0,3.707,1.105
WRC15_35,2015,M,0,1,1,1,22.5,19.8,5.38,4.72,0.27,17.5,2.600,0.581
WRC15_36,2015,MF,1,1,1,1,22.4,19.3,5.48,3.72,0.24,15.5,2.757,0.641
WRC15_37,2015,C,0,0,0,2,21.9,19.1,4.5,4.16,0.2,20.8,1.752,0.754
WRC15_38,2015,F,1,0,0,2,21.9,19.2,4.47,4.31,0.21,20.5,1.420,0.286
WRC15_39,2015,M,0,1,0,2,22.9,19.1,4.74,3.74,0.23,16.3,1.236,0.990
WRC15_40,2015,MF,1,1,0,2,23.5,19.5,5.16,3.19,0.16,19.9,1.631,0.692
WRC15_41,2015,C,0,0,1,3,22.0,19.7,4.92,3.37,0.2,16.9,2.045,1.277
WRC15_42,2015,F,1,0,1,3,22.2,19.5,4.7,6.42,0.35,18.3,2.157,0.816
WRC15_43,2015,M,0,1,1,3,23.7,19.2,5.42,3.15,0.19,16.6,2.033,0.801
WRC15_44,2015,MF,1,1,1,3,22.7,19.3,5.23,4.43,0.24,18.5,2.026,0.000
WRC15_45,2015,C,0,0,0,4,22.1,19,5,4.48,0.22,20.4,2.553,0.178
WRC15_46,2015,F,1,0,0,4,21.9,19,4.84,3.22,0.18,17.9,2.471,0.349
WRC15_47,2015,M,0,1,0,4,23.9,19.9,5.05,3.01,0.16,18.8,2.564,0.472
WRC15_48,2015,MF,1,1,0,4,23.2,19.2,5.28,4.58,0.24,19.1,1.650,0.532
WRC15_49,2015,C,0,0,1,5,22.4,19,5.05,2.98,0.18,16.6,1.864,0.100
WRC15_50,2015,F,1,0,1,5,21.8,19.2,4.74,4.72,0.26,18.2,2.163,0.483
WRC15_51,2015,M,0,1,1,5,23.2,19.2,5.21,3.52,0.19,18.5,1.492,0.235
WRC15_52,2015,MF,1,1,1,5,22.4,19.1,5.12,4.63,0.22,21.0,2.625,0.207
WRC15_53,2015,C,0,0,0,6,21.8,19.1,4.64,4.29,0.23,18.7,3.187,0.000
WRC15_54,2015,F,1,0,0,6,22.1,19.2,4.77,3.72,0.2,18.6,3.363,0.559
WRC15_55,2015,M,0,1,0,6,23.0,19.1,4.95,4.44,0.24,18.5,3.511,0.262
WRC15_56,2015,MF,1,1,0,6,22.6,19.2,5.25,3.92,0.22,17.8,2.182,0.467
WRC15_57,2015,C,0,0,1,7,22.1,19.3,4.95,3.16,0.2,15.8,1.690,0.551
WRC15_58,2015,F,1,0,1,7,21.8,19.2,4.64,4.1,0.24,17.1,2.019,0.400
WRC15_59,2015,M,0,1,1,7,22.9,19.1,5.16,2.77,0.17,16.3,1.573,0.000
WRC15_60,2015,MF,1,1,1,7,22.6,19.5,5.39,3.14,0.18,17.4,2.257,0.000
WRC15_61,2015,C,0,0,0,8,22.4,19.6,5.1,3.33,0.21,15.9,2.684,0.000
WRC15_62,2015,F,1,0,0,8,22.4,19.7,4.9,3.25,0.19,17.1,2.787,0.000
WRC15_63,2015,M,0,1,0,8,23.2,19.3,5.08,3.57,0.19,18.8,3.311,0.201
WRC15_64,2015,MF,1,1,0,8,22.0,19.8,5.36,3.79,0.22,17.2,3.889,0.461
WRC18_161,2018,C,0,0,1,1,11.7,30.2,3.92,3.36,0.19,17.7,0.290,-0.595
WRC18_162,2018,F,1,0,1,1,14.5,30.5,3.94,4.21,0.24,17.5,0.162,-0.149
WRC18_163,2018,M,0,1,1,1,12.3,35.6,4.19,5.39,0.3,18.0,0.434,-0.242
WRC18_164,2018,MF,1,1,1,1,10.8,26.4,4.18,2.59,0.16,16.2,0.187,-0.054
WRC18_165,2018,C,0,0,0,2,15.7,34.5,3.44,4.82,0.21,23.0,0.166,-0.569
WRC18_166,2018,F,1,0,0,2,15.3,34.1,3.55,4.41,0.21,21.0,0.571,-0.337
WRC18_167,2018,M,0,1,0,2,13.3,33.6,3.56,4.72,0.22,21.5,0.636,0.014
WRC18_168,2018,MF,1,1,0,2,14.0,35.4,3.77,4.89,0.24,20.4,0.553,0.175
WRC18_169,2018,C,0,0,1,3,12.3,28.4,4.07,3.45,0.2,17.3,0.258,-0.582
WRC18_170,2018,F,1,0,1,3,13.3,32.2,3.81,4.52,0.23,19.7,0.266,0.306
WRC18_171,2018,M,0,1,1,3,11.8,23.6,4.12,2.47,0.15,16.5,0.261,0.076
WRC18_172,2018,MF,1,1,1,3,12.0,32.1,4.11,5.45,0.3,18.2,0.234,-0.221
WRC18_173,2018,C,0,0,0,4,13.0,33,3.82,3.88,0.21,18.5,0.091,-0.203
WRC18_174,2018,F,1,0,0,4,13.3,30.7,3.74,3.76,0.2,18.8,0.082,-0.455
WRC18_175,2018,M,0,1,0,4,12.3,35.5,3.86,4.74,0.24,19.8,0.105,0.082
WRC18_176,2018,MF,1,1,0,4,13.3,36.8,4.02,6.36,0.33,19.3,0.133,0.104
WRC18_177,2018,C,0,0,1,5,12.2,25.9,3.99,2.68,0.15,17.9,0.233,-0.086
WRC18_178,2018,F,1,0,1,5,13.3,33.8,3.74,4.26,0.22,19.4,0.455,-0.185
WRC18_179,2018,M,0,1,1,5,11.8,27.6,4.16,3.78,0.21,18.0,0.296,-0.167
WRC18_180,2018,MF,1,1,1,5,12.8,29,4.19,4.07,0.22,18.5,0.428,-0.138
WRC18_181,2018,C,0,0,0,6,14.7,37.3,3.77,4.84,0.26,18.6,0.199,0.300
WRC18_182,2018,F,1,0,0,6,15.0,41.1,3.76,4.6,0.25,18.4,0.202,0.173
WRC18_183,2018,M,0,1,0,6,15.0,34.1,4.11,4.62,0.24,19.3,0.081,0.179
WRC18_184,2018,MF,1,1,0,6,13.7,38.1,4.21,4.93,0.26,19.0,0.210,-0.098
WRC18_185,2018,C,0,0,1,7,13.7,28.1,3.79,3.7,0.21,17.6,0.087,-0.272
WRC18_186,2018,F,1,0,1,7,13.0,33.3,3.73,5.42,0.29,18.7,0.124,-0.231
WRC18_187,2018,M,0,1,1,7,14.0,27.6,3.91,3.05,0.18,16.9,0.200,-0.176
WRC18_188,2018,MF,1,1,1,7,14.0,35.3,4.26,4.89,0.29,16.9,0.210,-0.246
WRC18_189,2018,C,0,0,0,8,13.7,32.9,4,3.22,0.19,16.9,0.168,-0.052
WRC18_190,2018,F,1,0,0,8,14.0,39.3,4.04,4.22,0.23,18.3,0.312,0.168
WRC18_191,2018,M,0,1,0,8,12.7,34.3,4.01,3.67,0.2,18.4,0.221,0.268
WRC18_192,2018,MF,1,1,0,8,12.7,36.2,4.24,4.26,0.24,17.8,0.307,0.691
